Station Name,Station Latitude,Station Longitude
Holtville Post Office,32.8120,-115.3770
Westmorland Fire Sta,33.0370,-115.6230
APEEL 3E Hayward CSUH,37.6570,-122.0610
Antioch - 510 G St,38.0150,-121.8100
Del Valle Dam (Toe),37.6200,-121.7500
Fremont - Mission San Jose,37.5300,-121.9190
San Ramon - Eastman Kodak,37.7290,-121.9280
San Ramon Fire Station,37.7800,-121.9800
Tracy - Sewage Treatm Plant,37.4600,-121.4200
APEEL 3E Hayward CSUH,37.6570,-122.0610
Antioch - 510 G St,38.0150,-121.8100
Del Valle Dam (Toe),37.6200,-121.7500
Fremont - Mission San Jose,37.5300,-121.9190
Livermore - Fagundas Ranch,37.7530,-121.7720
Livermore - Morgan Terr Park,37.8190,-121.7950
San Ramon - Eastman Kodak,37.7290,-121.9280
San Ramon Fire Station,37.7800,-121.9800
Anza - Pinyon Flat,33.6070,-116.4530
Anza - Terwilliger Valley,33.4800,-116.5900
Anza Fire Station,33.5558,-116.6740
Borrego Air Ranch,33.1900,-116.2800
Rancho De Anza,33.3480,-116.4000
Convict Creek,37.6140,-118.8310
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Mammoth Lakes H. S.,37.6410,-118.9630
Convict Creek,37.6140,-118.8310
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Mammoth Lakes H. S.,37.6410,-118.9630
Convict Creek,37.6140,-118.8310
Long Valley Dam (Downst),37.5880,-118.7050
Long Valley Dam (L Abut),37.5880,-118.7050
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Convict Creek,37.6140,-118.8310
Long Valley Dam (Downst),37.5880,-118.7050
Long Valley Dam (L Abut),37.5880,-118.7050
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Convict Creek,37.6140,-118.8310
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Benton,37.8180,-118.4750
Bishop - Paradise Lodge,37.4810,-118.6020
Convict Creek,37.6140,-118.8310
Fish & Game (FIS),37.6140,-118.8300
Long Valley Dam (Upr L Abut),37.5880,-118.7050
Fish & Game (FIS),37.6140,-118.8300
Green Church,37.6200,-118.8200
Long Valley Fire Sta,37.5680,-118.7520
Mammoth Elem School,37.6390,-118.8630
USC Cash Baugh Ranch,37.6790,-118.8130
USC McGee Creek Inn,37.5860,-118.7810
Cashbaugh (CBR),37.6790,-118.8250
Convict Lakes (CON),37.5900,-118.8530
Fish & Game (FIS),37.6140,-118.8300
Hot Creek (HCF),37.6420,-118.8500
Long Valley Fire Sta,37.5680,-118.7520
Mammoth Elem School,37.6390,-118.8630
USC Convict Lakes,37.5950,-118.8500
USC McGee Creek Inn,37.5860,-118.7810
Cerro Prieto,32.4210,-115.3010
Chihuahua,32.4840,-115.2400
Cucapah,32.5450,-115.2350
SAHOP Casa Flores,32.6180,-115.4360
Victoria Hospital Sotano,32.2890,-115.1000
Convict Lakes (CON),37.5900,-118.8530
Fish & Game (FIS),37.6140,-118.8300
Green Church,37.6200,-118.8200
Hot Creek (HCF),37.6420,-118.8500
Long Valley Fire Sta,37.5680,-118.7520
Mammoth Elem School,37.6390,-118.8630
McGee Creek (MGE),37.5610,-118.7870
USC Convict Lakes,37.5950,-118.8500
USC McGee Creek,37.5540,-118.7980
Almiros,39.1810,22.7560
Rio Dell Overpass - FF,40.5030,-124.0990
"Rio Dell Overpass, E Ground",40.5030,-124.0990
"Rio Dell Overpass, W Ground",40.5030,-124.0990
Arienzo,41.0280,14.4670
Auletta,40.5600,15.5580
Bagnoli Irpinio,40.8210,15.0690
Bisaccia,41.0130,15.3750
Bovino,41.2510,15.5100
Brienza,40.4580,15.6350
Calitri,40.9170,15.4390
Mercato San Severino,40.7910,14.7640
Rionero In Vulture,40.9290,15.6690
Sturno,41.0220,15.1170
Torre Del Greco,40.8010,14.3860
Tricarico,40.6210,16.1570
Auletta,40.5600,15.5580
Bagnoli Irpinio,40.8210,15.0690
Bisaccia,41.0130,15.3750
Bovino,41.2510,15.5100
Brienza,40.4580,15.6350
Calitri,40.9170,15.4390
Mercato San Severino,40.7910,14.7640
Rionero In Vulture,40.9290,15.6690
Sturno,41.0220,15.1170
Tricarico,40.6210,16.1570
Conza (Base),40.8750,15.3270
SMART1 C00,24.6738,121.7646
SMART1 I06,24.6721,121.7652
SMART1 I12,24.6755,121.7641
SMART1 M01,24.6822,121.7666
SMART1 M07,24.6649,121.7620
SMART1 O01,24.6922,121.7686
SMART1 O07,24.6561,121.7621
Corinth,37.9400,22.9000
Brawley Airport,32.9910,-115.5130
Niland Fire Station,33.2390,-115.5120
Parachute Test Site,32.9290,-115.7010
Salton Sea Wildlife Refuge,33.1774,-115.6160
Superstition Mtn Camera,32.9550,-115.8250
Westmorland Fire Sta,33.0370,-115.6230
Convict Creek,37.6140,-118.8310
Convict Creek,37.6140,-118.8310
Cantua Creek School,36.5030,-120.3200
Parkfield - Cholame 12W,35.6390,-120.4040
Parkfield - Cholame 1E,35.7430,-120.2770
Parkfield - Cholame 2E,35.7510,-120.2590
Parkfield - Cholame 2WA,35.7330,-120.2900
Parkfield - Cholame 3E,35.7700,-120.2470
Parkfield - Cholame 3W,35.7240,-120.2940
Parkfield - Cholame 4AW,35.7070,-120.3160
Parkfield - Cholame 4W,35.7180,-120.3040
Parkfield - Cholame 5W,35.6970,-120.3280
Parkfield - Cholame 6W,35.6840,-120.3420
Parkfield - Cholame 8W,35.6710,-120.3590
Parkfield - Fault Zone 1,35.7580,-120.3070
Parkfield - Fault Zone 10,35.8720,-120.4220
Parkfield - Fault Zone 11,35.8960,-120.3980
Parkfield - Fault Zone 12,35.8990,-120.4330
Parkfield - Fault Zone 14,35.9080,-120.4580
Parkfield - Fault Zone 15,35.9210,-120.4810
Parkfield - Fault Zone 16,35.9270,-120.4560
Parkfield - Fault Zone 2,35.7870,-120.3340
Parkfield - Fault Zone 3,35.8030,-120.3340
Parkfield - Fault Zone 4,35.8360,-120.3950
Parkfield - Fault Zone 6,35.8590,-120.4200
Parkfield - Fault Zone 7,35.8710,-120.4040
Parkfield - Fault Zone 8,35.8780,-120.3810
Parkfield - Fault Zone 9,35.8790,-120.4450
Parkfield - Gold Hill 1W,35.8180,-120.3780
Parkfield - Gold Hill 2E,35.8430,-120.3480
Parkfield - Gold Hill 2W,35.8120,-120.3910
Parkfield - Gold Hill 3E,35.8700,-120.3340
Parkfield - Gold Hill 3W,35.7960,-120.4110
Parkfield - Gold Hill 4W,35.7850,-120.4440
Parkfield - Gold Hill 5W,35.7700,-120.4770
Parkfield - Gold Hill 6W,35.7380,-120.5070
Parkfield - Stone Corral 2E,35.8100,-120.2820
Parkfield - Stone Corral 3E,35.8330,-120.2700
Parkfield - Stone Corral 4E,35.8550,-120.2810
Parkfield - Vineyard Cany 1E,35.9570,-120.4810
Parkfield - Vineyard Cany 1W,35.9340,-120.4970
Parkfield - Vineyard Cany 2E,35.9730,-120.4670
Parkfield - Vineyard Cany 2W,35.9270,-120.5090
Parkfield - Vineyard Cany 3W,35.9220,-120.5340
Parkfield - Vineyard Cany 4W,35.9050,-120.5500
Parkfield - Vineyard Cany 5W,35.8850,-120.5650
Parkfield - Vineyard Cany 6W,35.8610,-120.6000
Pleasant Valley P.P. - bldg,36.3080,-120.2490
Pleasant Valley P.P. - yard,36.3080,-120.2490
Slack Canyon,36.0340,-120.5900
ALP (temp),36.0109,-120.2530
Anticline Ridge - Palmer Ave,36.2100,-120.3050
Anticline Ridge Free-Field,36.2330,-120.3330
Anticline Ridge Pad,36.2330,-120.3330
Burnett Construction,36.1380,-120.3570
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Harris Ranch - Hdqtrs (temp),36.3430,-120.2160
LLN (temp),36.2108,-120.2630
MIT (temp),36.2467,-120.2630
Oil City,36.2290,-120.3600
Oil Fields - Skunk Hollow,36.2820,-120.3050
Oil Fields Fire Station,36.2470,-120.3140
Palmer Ave,36.2090,-120.2920
